"No","Phrase","ID","Title","URL","Name","PhraseYes","Contrast","Referent","ReferentCategory","Quantity","QuantType","HandsVisible","HandsMoving","HandsOccupied","WhichHand","HandShape","PinchType","PinkieCurl","PalmOrientation","MovementComplexity","MovementDirection","Comment"
9636,"huge_number","CURRENT_20121218_000000_The_Young_Turks_With_Cenk_Uygur","The Young Turks With Cenk Uygur : CURRENT : December 17, 2012 4:00pm-5:00pm PST","http://archive.org/download/CURRENT_20121218_000000_The_Young_Turks_With_Cenk_Uygur/CURRENT_20121218_000000_The_Young_Turks_With_Cenk_Uygur.mp4?t=1714/1744&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
822,"huge_number","FOXNEWS_20120410_230000_The_FOX_Report_With_Shepard_Smith","The FOX Report With Shepard Smith : FOXNEWS : April 10, 2012 7:00pm-8:00pm EDT","http://archive.org/download/FOXNEWS_20120410_230000_The_FOX_Report_With_Shepard_Smith/FOXNEWS_20120410_230000_The_FOX_Report_With_Shepard_Smith.mp4?t=291/321&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"graph"
88,"huge_number","KTVU_20131106_130000_KTVU_Morning_News_Early_Edition","KTVU Morning News Early Edition : KTVU : November 6, 2013 5:00am-6:01am PST","http://archive.org/download/KTVU_20131106_130000_KTVU_Morning_News_Early_Edition/KTVU_20131106_130000_KTVU_Morning_News_Early_Edition.mp4?t=885/915&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
3494,"huge_number","CNNW_20110830_210000_The_Situation_Room_With_Wolf_Blitzer","The Situation Room With Wolf Blitzer : CNNW : August 30, 2011 2:00pm-4:00pm PDT","http://archive.org/download/CNNW_20110830_210000_The_Situation_Room_With_Wolf_Blitzer/CNNW_20110830_210000_The_Situation_Room_With_Wolf_Blitzer.mp4?t=801/831&ignore=x.mp4","wolf blitzer","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
2047,"huge_number","MSNBC_20120918_210000_Hardball_With_Chris_Matthews","Hardball With Chris Matthews : MSNBC : September 18, 2012 5:00pm-6:00pm EDT","http://archive.org/download/MSNBC_20120918_210000_Hardball_With_Chris_Matthews/MSNBC_20120918_210000_Hardball_With_Chris_Matthews.mp4?t=153/183&ignore=x.mp4","mitt romney","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
6896,"huge_number","CSPAN2_20090901_060000_Today_in_Washington","Today in Washington : CSPAN2 : September 1, 2009 2:00am-6:00am EDT","http://archive.org/download/CSPAN2_20090901_060000_Today_in_Washington/CSPAN2_20090901_060000_Today_in_Washington.mp4?t=2521/2551&ignore=x.mp4","helen darling","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
2875,"huge_number","CSPAN2_20140807_223000_Key_Capitol_Hill_Hearings","Key Capitol Hill Hearings : CSPAN2 : August 7, 2014 6:30pm-8:01pm EDT","http://ia802301.us.archive.org/13/items/CSPAN2_20140807_223000_Key_Capitol_Hill_Hearings/CSPAN2_20140807_223000_Key_Capitol_Hill_Hearings.mp4?start=1510&end=1540&ignore=x.mp4","live interpreter","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"changed link; live interpreter"
1715,"huge_number","FOXNEWS_20101125_000000_The_FOX_Report_With_Shepard_Smith","The FOX Report With Shepard Smith : FOXNEWS : November 24, 2010 7:00pm-8:00pm EST","http://archive.org/download/FOXNEWS_20101125_000000_The_FOX_Report_With_Shepard_Smith/FOXNEWS_20101125_000000_The_FOX_Report_With_Shepard_Smith.mp4?t=416/446&ignore=x.mp4","steven centanni","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
2179,"huge_number","CNN_20121104_140000_State_of_the_Union","State of the Union : CNN : November 4, 2012 9:00am-10:00am EST","http://archive.org/download/CNN_20121104_140000_State_of_the_Union/CNN_20121104_140000_State_of_the_Union.mp4?t=3105/3135&ignore=x.mp4","dana bash","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"interesting contrast"
1662,"huge_number","CSPAN_20091231_030000_Tonight_From_Washington","Tonight From Washington : CSPAN : December 30, 2009 10:00pm-11:00pm EST","http://archive.org/download/CSPAN_20091231_030000_Tonight_From_Washington/CSPAN_20091231_030000_Tonight_From_Washington.mp4?t=2609/2639&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"discuss"
4663,"huge_number","SFGTV_20110613_140000","SFGTV : June 13, 2011 7:00am-7:30am PDT","http://archive.org/download/SFGTV_20110613_140000/SFGTV_20110613_140000.mp4?t=1407/1437&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
8808,"huge_number","FOXNEWS_20100427_000000_The_OReilly_Factor","The O'Reilly Factor : FOXNEWS : April 26, 2010 8:00pm-9:00pm EDT","http://archive.org/download/FOXNEWS_20100427_000000_The_OReilly_Factor/FOXNEWS_20100427_000000_The_OReilly_Factor.mp4?t=1422/1452&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
3375,"huge_number","FOXNEWSW_20120106_180000_America_Live","America Live : FOXNEWSW : January 6, 2012 10:00am-12:00pm PST","http://archive.org/download/FOXNEWSW_20120106_180000_America_Live/FOXNEWSW_20120106_180000_America_Live.mp4?t=2324/2354&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
4459,"huge_number","CSPAN2_20110726_030000_Capital_News_Today","Capital News Today : CSPAN2 : July 25, 2011 11:00pm-2:00am EDT","http://archive.org/download/CSPAN2_20110726_030000_Capital_News_Today/CSPAN2_20110726_030000_Capital_News_Today.mp4?t=1717/1747&ignore=x.mp4","margot badran","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
8782,"huge_number","KTVU_20120815_130000_KTVU_Morning_News","KTVU Morning News : KTVU : August 15, 2012 6:00am-7:00am PDT","http://ia600308.us.archive.org/14/items/KTVU_20120815_130000_KTVU_Morning_News/KTVU_20120815_130000_KTVU_Morning_News.mp4?start=1602&end=1632&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"changed-link"
5635,"huge_number","MSNBCW_20140104_170000_Weekends_With_Alex_Witt","Weekends With Alex Witt : MSNBCW : January 4, 2014 9:00am-11:01am PST","http://archive.org/download/MSNBCW_20140104_170000_Weekends_With_Alex_Witt/MSNBCW_20140104_170000_Weekends_With_Alex_Witt.mp4?t=3107/3137&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
4773,"huge_number","CNBC_20100122_140000_Squawk_on_the_Street","Squawk on the Street : CNBC : January 22, 2010 9:00am-11:00am EST","http://archive.org/download/CNBC_20100122_140000_Squawk_on_the_Street/CNBC_20100122_140000_Squawk_on_the_Street.mp4?t=991/1021&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
7576,"huge_number","WJLA_20100527_210000_ABC_7_News_at_500","ABC 7 News at 500 : WJLA : May 27, 2010 5:00pm-6:00pm EDT","http://archive.org/download/WJLA_20100527_210000_ABC_7_News_at_500/WJLA_20100527_210000_ABC_7_News_at_500.mp4?t=3053/3083&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
1442,"huge_number","KPIX_20120202_140000_CBS_5_Eyewitness_News_at_6AM","CBS 5 Eyewitness News at 6AM : KPIX : February 2, 2012 6:00am-7:00am PST","http://archive.org/download/KPIX_20120202_140000_CBS_5_Eyewitness_News_at_6AM/KPIX_20120202_140000_CBS_5_Eyewitness_News_at_6AM.mp4?t=2088/2118&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
955,"huge_number","CSPAN_20120826_140000_Newsmakers","Newsmakers : CSPAN : August 26, 2012 10:00am-10:30am EDT","http://archive.org/download/CSPAN_20120826_140000_Newsmakers/CSPAN_20120826_140000_Newsmakers.mp4?t=930/960&ignore=x.mp4","pete sessions","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
5472,"huge_number","CNBC_20130520_100000_Squawk_Box","Squawk Box : CNBC : May 20, 2013 6:00am-9:01am EDT","http://archive.org/download/CNBC_20130520_100000_Squawk_Box/CNBC_20130520_100000_Squawk_Box.mp4?t=4182/4212&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
5829,"huge_number","CSPAN3_20140728_170000_Politics__Public_Policy_Today","Politics & Public Policy Today : CSPAN3 : July 28, 2014 1:00pm-3:01pm EDT","http://archive.org/download/CSPAN3_20140728_170000_Politics__Public_Policy_Today/CSPAN3_20140728_170000_Politics__Public_Policy_Today.mp4?t=5725/5755&ignore=x.mp4","john kerry","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
6965,"huge_number","WUSA_20121111_233000_9News_Now_Sunday_at_630pm","9News Now Sunday at 630pm : WUSA : November 11, 2012 6:30pm-7:00pm EST","http://archive.org/download/WUSA_20121111_233000_9News_Now_Sunday_at_630pm/WUSA_20121111_233000_9News_Now_Sunday_at_630pm.mp4?t=1196/1226&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
4042,"huge_number","FOXNEWSW_20140220_140000_Americas_Newsroom","America's Newsroom : FOXNEWSW : February 20, 2014 6:00am-8:01am PST","http://archive.org/download/FOXNEWSW_20140220_140000_Americas_Newsroom/FOXNEWSW_20140220_140000_Americas_Newsroom.mp4?t=3771/3801&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
6868,"huge_number","FOXNEWS_20100828_080000_Special_Report_With_Bret_Baier","Special Report With Bret Baier : FOXNEWS : August 28, 2010 4:00am-5:00am EDT","http://archive.org/download/FOXNEWS_20100828_080000_Special_Report_With_Bret_Baier/FOXNEWS_20100828_080000_Special_Report_With_Bret_Baier.mp4?t=1127/1157&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
8240,"huge_number","FOXNEWSW_20131013_140000_Americas_News_Headquarters","America's News Headquarters : FOXNEWSW : October 13, 2013 7:00am-7:31am PDT","http://archive.org/download/FOXNEWSW_20131013_140000_Americas_News_Headquarters/FOXNEWSW_20131013_140000_Americas_News_Headquarters.mp4?t=74/104&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
3312,"huge_number","WUSA_20111031_110000_The_Early_Show","The Early Show : WUSA : October 31, 2011 7:00am-9:00am EDT","http://archive.org/download/WUSA_20111031_110000_The_Early_Show/WUSA_20111031_110000_The_Early_Show.mp4?t=3718/3748&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"graph"
8042,"huge_number","MSNBCW_20120918_093000_Way_Too_Early_With_Willie_Geist","Way Too Early With Willie Geist : MSNBCW : September 18, 2012 2:30am-3:00am PDT","http://archive.org/download/MSNBCW_20120918_093000_Way_Too_Early_With_Willie_Geist/MSNBCW_20120918_093000_Way_Too_Early_With_Willie_Geist.mp4?t=153/183&ignore=x.mp4","mitt romney","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
9554,"huge_number","WTTG_20120918_090000_Fox_Morning_News_at_5","Fox Morning News at 5 : WTTG : September 18, 2012 5:00am-6:00am EDT","http://archive.org/download/WTTG_20120918_090000_Fox_Morning_News_at_5/WTTG_20120918_090000_Fox_Morning_News_at_5.mp4?t=970/1000&ignore=x.mp4","mitt romney","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
5216,"huge_number","FOXNEWS_20120229_140000_Americas_Newsroom","America's Newsroom : FOXNEWS : February 29, 2012 9:00am-11:00am EST","http://archive.org/download/FOXNEWS_20120229_140000_Americas_Newsroom/FOXNEWS_20120229_140000_Americas_Newsroom.mp4?t=532/562&ignore=x.mp4","NA","yes","yes",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"interesting switch; pitch"
1942,"huge_number","CSPAN3_20120414_023000","CSPAN3 : April 13, 2012 10:30pm-11:00pm EDT","http://archive.org/download/CSPAN3_20120414_023000/CSPAN3_20120414_023000.mp4?t=1696/1726&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
4565,"huge_number","CNBC_20091120_110000_Squawk_Box","Squawk Box : CNBC : November 20, 2009 6:00am-9:00am EST","http://archive.org/download/CNBC_20091120_110000_Squawk_Box/CNBC_20091120_110000_Squawk_Box.mp4?t=5629/5659&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"interesting switch; pitch"
3533,"huge_number","CNN_20120625_150000_CNN_Newsroom","CNN Newsroom : CNN : June 25, 2012 11:00am-1:00pm EDT","http://archive.org/download/CNN_20120625_150000_CNN_Newsroom/CNN_20120625_150000_CNN_Newsroom.mp4?t=6445/6475&ignore=x.mp4","jason carter","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
8824,"huge_number","FOXNEWS_20111117_090000_Special_Report_With_Bret_Baier","Special Report With Bret Baier : FOXNEWS : November 17, 2011 4:00am-5:00am EST","http://archive.org/download/FOXNEWS_20111117_090000_Special_Report_With_Bret_Baier/FOXNEWS_20111117_090000_Special_Report_With_Bret_Baier.mp4?t=3302/3332&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
327,"huge_number","FOXNEWSW_20140505_050000_Stossel","Stossel : FOXNEWSW : May 4, 2014 10:00pm-11:01pm PDT","http://archive.org/download/FOXNEWSW_20140505_050000_Stossel/FOXNEWSW_20140505_050000_Stossel.mp4?t=3029/3059&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
2685,"huge_number","FOXNEWSW_20140325_130000_Americas_Newsroom","America's Newsroom : FOXNEWSW : March 25, 2014 6:00am-8:01am PDT","http://ia902502.us.archive.org/11/items/FOXNEWSW_20140505_050000_Stossel/FOXNEWSW_20140505_050000_Stossel.mp4?start=3015&end=3045&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"changed-link"
9689,"huge_number","MSNBCW_20130226_160000_MSNBC_Live","MSNBC Live : MSNBCW : February 26, 2013 8:00am-9:00am PST","http://archive.org/download/MSNBCW_20130226_160000_MSNBC_Live/MSNBCW_20130226_160000_MSNBC_Live.mp4?t=424/454&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
7410,"huge_number","ALJAZAM_20140709_010000_America_Tonight","America Tonight : ALJAZAM : July 8, 2014 9:00pm-10:01pm EDT","http://archive.org/download/ALJAZAM_20140709_010000_America_Tonight/ALJAZAM_20140709_010000_America_Tonight.mp4?t=1849/1879&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
2518,"huge_number","MSNBCW_20131122_000000_Hardball_With_Chris_Matthews","Hardball With Chris Matthews : MSNBCW : November 21, 2013 4:00pm-5:01pm PST","http://archive.org/download/MSNBCW_20131122_000000_Hardball_With_Chris_Matthews/MSNBCW_20131122_000000_Hardball_With_Chris_Matthews.mp4?t=1525/1555&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"does not gesture"
3706,"huge_number","WJZ_20100104_120000_The_Early_Show","The Early Show : WJZ : January 4, 2010 7:00am-9:00am EST","http://archive.org/download/WJZ_20100104_120000_The_Early_Show/WJZ_20100104_120000_The_Early_Show.mp4?t=2520/2550&ignore=x.mp4","NA","yes","yes",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"switch"
5647,"huge_number","WBFF_20100310_040000_FOX_45_Late_Edition","FOX 45 Late Edition : WBFF : March 9, 2010 11:00pm-11:30pm EST","http://archive.org/download/WBFF_20100310_040000_FOX_45_Late_Edition/WBFF_20100310_040000_FOX_45_Late_Edition.mp4?t=528/558&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
6386,"huge_number","CNN_20130219_210000_The_Situation_Room","The Situation Room : CNN : February 19, 2013 4:00pm-7:00pm EST","http://archive.org/download/CNN_20130219_210000_The_Situation_Room/CNN_20130219_210000_The_Situation_Room.mp4?t=1257/1287&ignore=x.mp4","wolf blitzer","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
9402,"huge_number","KTVU_20120907_020000_KTVU_News_Special_DNC_Coverage","KTVU News Special DNC Coverage : KTVU : September 6, 2012 7:00pm-8:00pm PDT","http://archive.org/download/KTVU_20120907_020000_KTVU_News_Special_DNC_Coverage/KTVU_20120907_020000_KTVU_News_Special_DNC_Coverage.mp4?t=892/922&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
7253,"huge_number","ALJAZAM_20140724_150000_News","News : ALJAZAM : July 24, 2014 11:00am-11:31am EDT","http://archive.org/download/ALJAZAM_20140724_150000_News/ALJAZAM_20140724_150000_News.mp4?t=520/550&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
7495,"huge_number","KQED_20140124_080000_Charlie_Rose","Charlie Rose : KQED : January 24, 2014 12:00am-1:01am PST","http://archive.org/download/KQED_20140124_080000_Charlie_Rose/KQED_20140124_080000_Charlie_Rose.mp4?t=57/87&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
3762,"huge_number","WUSA_20111014_110000_The_Early_Show","The Early Show : WUSA : October 14, 2011 7:00am-9:00am EDT","http://archive.org/download/WUSA_20111014_110000_The_Early_Show/WUSA_20111014_110000_The_Early_Show.mp4?t=431/461&ignore=x.mp4","rick perry","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
5918,"huge_number","CNBC_20141223_110000_Squawk_Box","Squawk Box : CNBC : December 23, 2014 6:00am-9:01am EST","http://archive.org/download/CNBC_20141223_110000_Squawk_Box/CNBC_20141223_110000_Squawk_Box.mp4?t=9229/9259&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"not-aligned but does an outward expand"
1664,"huge_number","CSPAN_20110111_110000_Today_in_Washington","Today in Washington : CSPAN : January 11, 2011 6:00am-7:00am EST","http://archive.org/download/CSPAN_20110111_110000_Today_in_Washington/CSPAN_20110111_110000_Today_in_Washington.mp4?t=246/276&ignore=x.mp4","sudeep reddy","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
7614,"huge_number","KQED_20110913_230000_BBC_World_News_America","BBC World News America : KQED : September 13, 2011 4:00pm-4:30pm PDT","http://archive.org/download/KQED_20110913_230000_BBC_World_News_America/KQED_20110913_230000_BBC_World_News_America.mp4?t=1053/1083&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
4968,"huge_number","CSPAN_20090703_110000_Washington_Journal","Washington Journal : CSPAN : July 3, 2009 7:00am-10:00am EDT","http://archive.org/download/CSPAN_20090703_110000_Washington_Journal/CSPAN_20090703_110000_Washington_Journal.mp4?t=4407/4437&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
1460,"huge_number","SFGTV_20120304_220000","SFGTV : March 4, 2012 2:00pm-2:30pm PST","http://archive.org/download/SFGTV_20120304_220000/SFGTV_20120304_220000.mp4?t=370/400&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
2988,"huge_number","CNNW_20141104_160000_At_This_Hour_With_Berman_and_Michaela","At This Hour With Berman and Michaela : CNNW : November 4, 2014 8:00am-9:01am PST","http://archive.org/download/CNNW_20141104_160000_At_This_Hour_With_Berman_and_Michaela/CNNW_20141104_160000_At_This_Hour_With_Berman_and_Michaela.mp4?t=3133/3163&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
671,"huge_number","ALJAZAM_20150117_100000_News","News : ALJAZAM : January 17, 2015 5:00am-6:01am EST","http://archive.org/download/ALJAZAM_20150117_100000_News/ALJAZAM_20150117_100000_News.mp4?t=2025/2055&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
9349,"huge_number","FOXNEWS_20110305_030000_Greta_Van_Susteren","Greta Van Susteren : FOXNEWS : March 4, 2011 10:00pm-11:00pm EST","http://archive.org/download/FOXNEWS_20110305_030000_Greta_Van_Susteren/FOXNEWS_20110305_030000_Greta_Van_Susteren.mp4?t=204/234&ignore=x.mp4","greta van susteren","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
9603,"huge_number","CSPAN2_20121104_230000_Book_TV","Book TV : CSPAN2 : November 4, 2012 6:00pm-7:00pm EST","http://archive.org/download/CSPAN2_20121104_230000_Book_TV/CSPAN2_20121104_230000_Book_TV.mp4?t=2821/2851&ignore=x.mp4","donald ritchie","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"moves hand but cannot be seen"
2213,"huge_number","CNNW_20130201_000000_Erin_Burnett_OutFront","Erin Burnett OutFront : CNNW : January 31, 2013 4:00pm-5:00pm PST","http://ia801606.us.archive.org/23/items/CNNW_20130201_000000_Erin_Burnett_OutFront/CNNW_20130201_000000_Erin_Burnett_OutFront.mp4?start=954&end=984&ignore=x.mp4","erin burnett","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"changed-link"
1394,"huge_number","WBAL_20111216_110000_11_News_Today","11 News Today : WBAL : December 16, 2011 6:00am-7:00am EST","http://archive.org/download/WBAL_20111216_110000_11_News_Today/WBAL_20111216_110000_11_News_Today.mp4?t=335/365&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
9018,"huge_number","CNN_20110206_080000_Piers_Morgan_Tonight","Piers Morgan Tonight : CNN : February 6, 2011 3:00am-4:00am EST","http://archive.org/download/CNN_20110206_080000_Piers_Morgan_Tonight/CNN_20110206_080000_Piers_Morgan_Tonight.mp4?t=3394/3424&ignore=x.mp4","piers morgan","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
9836,"huge_number","ALJAZAM_20130903_110000_News","News : ALJAZAM : September 3, 2013 7:00am-8:01am EDT","http://archive.org/download/ALJAZAM_20130903_110000_News/ALJAZAM_20130903_110000_News.mp4?t=1031/1061&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
1378,"huge_number","MSNBC_20100401_230000_Hardball_With_Chris_Matthews","Hardball With Chris Matthews : MSNBC : April 1, 2010 7:00pm-8:00pm EDT","http://archive.org/download/MSNBC_20100401_230000_Hardball_With_Chris_Matthews/MSNBC_20100401_230000_Hardball_With_Chris_Matthews.mp4?t=3376/3406&ignore=x.mp4","chris matthews","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
1049,"huge_number","CNBC_20090904_230000_The_Kudlow_Report","The Kudlow Report : CNBC : September 4, 2009 7:00pm-8:00pm EDT","http://archive.org/download/CNBC_20090904_230000_The_Kudlow_Report/CNBC_20090904_230000_The_Kudlow_Report.mp4?t=165/195&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"graph"
8673,"huge_number","CNBC_20091217_170000_Power_Lunch","Power Lunch : CNBC : December 17, 2009 12:00pm-2:00pm EST","http://archive.org/download/CNBC_20091217_170000_Power_Lunch/CNBC_20091217_170000_Power_Lunch.mp4?t=3003/3033&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"graph"
9176,"huge_number","CNNW_20111219_200000_CNN_Newsroom","CNN Newsroom : CNNW : December 19, 2011 12:00pm-1:00pm PST","http://archive.org/download/CNNW_20111219_200000_CNN_Newsroom/CNNW_20111219_200000_CNN_Newsroom.mp4?t=2724/2754&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"graph"
3888,"huge_number","FBC_20130819_132000_Varney__Company","Varney & Company : FBC : August 19, 2013 9:20am-11:01am EDT","http://archive.org/download/FBC_20130819_132000_Varney__Company/FBC_20130819_132000_Varney__Company.mp4?t=2605/2635&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
3394,"huge_number","CSPAN2_20090808_220000_Book_TV","Book TV : CSPAN2 : August 8, 2009 6:00pm-7:00pm EDT","http://archive.org/download/CSPAN2_20090808_220000_Book_TV/CSPAN2_20090808_220000_Book_TV.mp4?t=2511/2541&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
2950,"huge_number","CNNW_20141008_230000_Erin_Burnett_OutFront","Erin Burnett OutFront : CNNW : October 8, 2014 4:00pm-5:01pm PDT","http://archive.org/download/CNNW_20141008_230000_Erin_Burnett_OutFront/CNNW_20141008_230000_Erin_Burnett_OutFront.mp4?t=573/603&ignore=x.mp4","alexander van tulleken","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
3772,"huge_number","FOXNEWSW_20120921_130000_Americas_Newsroom","America's Newsroom : FOXNEWSW : September 21, 2012 6:00am-8:00am PDT","http://archive.org/download/FOXNEWSW_20120921_130000_Americas_Newsroom/FOXNEWSW_20120921_130000_Americas_Newsroom.mp4?t=4088/4118&ignore=x.mp4","chris wallace","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
